skill_name,start_date,use_count,last_used
check-acceptance-criteria,2026-04-10,0,never
go-on,2026-04-10,0,never
lessons,2026-04-10,0,never
merge,2026-04-10,0,never
pm,2026-04-10,0,never
pm-clean,2026-04-10,0,never
pm-handoff,2026-04-10,0,never
pm-okr,2026-04-10,0,never
pm-rate-team,2026-04-10,0,never
pm-sprint-plan,2026-04-10,0,never
pm-sprint-review,2026-04-10,0,never
pm-team-standup,2026-04-10,0,never
pm-update,2026-04-10,0,never
pr-review-help,2026-04-10,0,never
prioritize,2026-04-10,0,never
prompt,2026-04-10,0,never
standup,2026-04-10,0,never
start-issue,2026-04-10,0,never
status,2026-04-10,0,never
subagent,2026-04-10,0,never
wrap,2026-04-10,0,never
